date,hpi,numsold
1991-01-01,100.0,30
1991-02-01,100.48,40
1991-03-01,100.74,51
1991-04-01,100.75,50
1991-05-01,100.92,47
1991-06-01,101.4,47
1991-07-01,101.36,43
1991-08-01,101.31,46
1991-09-01,101.41,37
1991-10-01,101.62,41
1991-11-01,102.16,39
1991-12-01,102.21,36
1992-01-01,102.31,48
1992-02-01,102.97,55
1992-03-01,103.11,56
1992-04-01,102.99,53
1992-05-01,103.17,52
1992-06-01,103.53,53
1992-07-01,103.8,52
1992-08-01,104.36,56
1992-09-01,104.62,51
1992-10-01,104.81,48
1992-11-01,105.07,42
1992-12-01,104.67,42
1993-01-01,104.43,44
1993-02-01,104.1,50
1993-03-01,104.72,60
1993-04-01,105.61,66
1993-05-01,105.93,58
1993-06-01,106.73,59
1993-07-01,106.75,55
1993-08-01,107.2,57
1993-09-01,107.41,57
1993-10-01,107.54,56
1993-11-01,107.75,53
1993-12-01,107.92,51
1994-01-01,107.92,46
1994-02-01,108.03,58
1994-03-01,108.75,74
1994-04-01,109.34,65
1994-05-01,109.88,65
1994-06-01,110.5,55
1994-07-01,110.62,52
1994-08-01,110.97,59
1994-09-01,110.83,54
1994-10-01,110.91,57
1994-11-01,111.04,45
1994-12-01,110.7,40
1995-01-01,110.77,47
1995-02-01,111.19,47
1995-03-01,111.49,60
1995-04-01,111.95,58
1995-05-01,112.32,63
1995-06-01,113.12,64
1995-07-01,113.63,64
1995-08-01,113.97,63
1995-09-01,113.9,54
1995-10-01,113.82,54
1995-11-01,113.84,46
1995-12-01,113.96,45
1996-01-01,114.1,54
1996-02-01,114.28,68
1996-03-01,115.03,70
1996-04-01,115.66,70
1996-05-01,116.27,69
1996-06-01,116.74,65
1996-07-01,117.15,66
1996-08-01,117.13,73
1996-09-01,117.17,62
1996-10-01,116.97,56
1996-11-01,117.13,54
1996-12-01,117.14,51
1997-01-01,116.98,61
1997-02-01,117.27,69
1997-03-01,118.22,81
1997-04-01,118.75,70
1997-05-01,119.56,71
1997-06-01,120.0,71
1997-07-01,120.3,69
1997-08-01,120.7,72
1997-09-01,120.47,67
1997-10-01,120.88,62
1997-11-01,121.04,61
1997-12-01,121.1,51
1998-01-01,121.22,64
1998-02-01,122.13,75
1998-03-01,123.0,81
1998-04-01,123.89,82
1998-05-01,124.81,82
1998-06-01,126.0,83
1998-07-01,126.25,75
1998-08-01,126.78,75
1998-09-01,127.21,68
1998-10-01,127.53,69
1998-11-01,128.03,70
1998-12-01,128.23,61
1999-01-01,128.76,67
1999-02-01,129.28,76
1999-03-01,130.31,84
1999-04-01,131.3,86
1999-05-01,132.55,80
1999-06-01,133.59,82
1999-07-01,134.24,78
1999-08-01,135.02,78
1999-09-01,135.09,65
1999-10-01,135.73,67
1999-11-01,135.88,61
1999-12-01,136.13,57
2000-01-01,137.43,67
2000-02-01,137.29,78
2000-03-01,138.85,88
2000-04-01,140.16,78
2000-05-01,141.3,77
2000-06-01,142.72,71
2000-07-01,143.42,76
2000-08-01,143.88,73
2000-09-01,144.48,70
2000-10-01,145.0,71
2000-11-01,145.48,63
2000-12-01,145.88,65
2001-01-01,146.59,72
2001-02-01,147.48,85
