date,hpi,numsold
1/1/1991,100,30
2/1/1991,100.48,40
3/1/1991,100.74,51
4/1/1991,100.75,50
5/1/1991,100.92,47
6/1/1991,101.4,47
7/1/1991,101.36,43
8/1/1991,101.31,46
9/1/1991,101.41,37
10/1/1991,101.62,41
11/1/1991,102.16,39
12/1/1991,102.21,36
1/1/1992,102.31,48
2/1/1992,102.97,55
3/1/1992,103.11,56
4/1/1992,102.99,53
5/1/1992,103.17,52
6/1/1992,103.53,53
7/1/1992,103.8,52
8/1/1992,104.36,56
9/1/1992,104.62,51
10/1/1992,104.81,48
11/1/1992,105.07,42
12/1/1992,104.67,42
1/1/1993,104.43,44
2/1/1993,104.1,50
3/1/1993,104.72,60
4/1/1993,105.61,66
5/1/1993,105.93,58
6/1/1993,106.73,59
7/1/1993,106.75,55
8/1/1993,107.2,57
9/1/1993,107.41,57
10/1/1993,107.54,56
11/1/1993,107.75,53
12/1/1993,107.92,51
1/1/1994,107.92,46
2/1/1994,108.03,58
3/1/1994,108.75,74
4/1/1994,109.34,65
5/1/1994,109.88,65
6/1/1994,110.5,55
7/1/1994,110.62,52
8/1/1994,110.97,59
9/1/1994,110.83,54
10/1/1994,110.91,57
11/1/1994,111.04,45
12/1/1994,110.7,40
1/1/1995,110.77,47
2/1/1995,111.19,47
3/1/1995,111.49,60
4/1/1995,111.95,58
5/1/1995,112.32,63
6/1/1995,113.12,64
7/1/1995,113.63,64
8/1/1995,113.97,63
9/1/1995,113.9,54
10/1/1995,113.82,54
11/1/1995,113.84,46
12/1/1995,113.96,45
1/1/1996,114.1,54
2/1/1996,114.28,68
3/1/1996,115.03,70
4/1/1996,115.66,70
5/1/1996,116.27,69
6/1/1996,116.74,65
7/1/1996,117.15,66
8/1/1996,117.13,73
9/1/1996,117.17,62
10/1/1996,116.97,56
11/1/1996,117.13,54
12/1/1996,117.14,51
1/1/1997,116.98,61
2/1/1997,117.27,69
3/1/1997,118.22,81
4/1/1997,118.75,70
5/1/1997,119.56,71
6/1/1997,120,71
7/1/1997,120.3,69
8/1/1997,120.7,72
9/1/1997,120.47,67
10/1/1997,120.88,62
11/1/1997,121.04,61
12/1/1997,121.1,51
1/1/1998,121.22,64
2/1/1998,122.13,75
3/1/1998,123,81
4/1/1998,123.89,82
5/1/1998,124.81,82
6/1/1998,126,83
7/1/1998,126.25,75
8/1/1998,126.78,75
9/1/1998,127.21,68
10/1/1998,127.53,69
11/1/1998,128.03,70
12/1/1998,128.23,61
1/1/1999,128.76,67
2/1/1999,129.28,76
3/1/1999,130.31,84
4/1/1999,131.3,86
5/1/1999,132.55,80
6/1/1999,133.59,82
7/1/1999,134.24,78
8/1/1999,135.02,78
9/1/1999,135.09,65
10/1/1999,135.73,67
11/1/1999,135.88,61
12/1/1999,136.13,57
1/1/2000,137.43,67
2/1/2000,137.29,78
3/1/2000,138.85,88
4/1/2000,140.16,78
5/1/2000,141.3,77
6/1/2000,142.72,71
7/1/2000,143.42,76
8/1/2000,143.88,73
9/1/2000,144.48,70
10/1/2000,145,71
11/1/2000,145.48,63
12/1/2000,145.88,65
1/1/2001,146.59,72
2/1/2001,147.48,85
3/1/2001,148.88,94
4/1/2001,150.08,84
5/1/2001,151.3,80
6/1/2001,152.56,79
7/1/2001,153.43,76
8/1/2001,154,74
9/1/2001,154.58,66
10/1/2001,155.14,66
11/1/2001,155.12,67
12/1/2001,155.71,66
1/1/2002,156.29,66
2/1/2002,157.15,84
3/1/2002,158.72,90
4/1/2002,160.04,86
5/1/2002,161.74,88
6/1/2002,163.28,84
7/1/2002,164.32,82
8/1/2002,165.28,90
9/1/2002,166.04,82
10/1/2002,166.77,77
11/1/2002,167.16,73
12/1/2002,167.87,70
1/1/2003,168.44,76
2/1/2003,169.49,82
3/1/2003,170.76,98
4/1/2003,172.3,91
5/1/2003,173.95,101
6/1/2003,175.38,107
7/1/2003,176.69,99
8/1/2003,177.84,105
9/1/2003,178.98,90
10/1/2003,179.59,88
11/1/2003,180.32,76
12/1/2003,181.25,75
1/1/2004,181.92,89
2/1/2004,183.49,102
3/1/2004,185.34,123
4/1/2004,187.53,109
5/1/2004,190.22,115
6/1/2004,192.76,105
7/1/2004,194.39,96
8/1/2004,195.61,102
9/1/2004,196.76,94
10/1/2004,197.6,101
11/1/2004,198.8,84
12/1/2004,199.81,83
1/1/2005,200.46,92
2/1/2005,202.23,109
3/1/2005,205.07,127
4/1/2005,207.63,116
5/1/2005,210.33,120
6/1/2005,212.79,115
7/1/2005,214.8,117
8/1/2005,216.3,110
9/1/2005,217.76,99
10/1/2005,218.36,105
11/1/2005,218.94,86
12/1/2005,219.43,87
1/1/2006,219.99,89
2/1/2006,221.02,88
3/1/2006,222.7,108
4/1/2006,224.09,100
5/1/2006,225.93,102
6/1/2006,226.62,98
7/1/2006,226.51,83
8/1/2006,226.95,88
9/1/2006,226.22,80
10/1/2006,226,74
11/1/2006,225.73,71
12/1/2006,225.02,71
1/1/2007,224.74,66
2/1/2007,225.44,68
3/1/2007,227.24,80
4/1/2007,228.45,83
5/1/2007,228.7,79
6/1/2007,228.71,73
7/1/2007,227.39,68
8/1/2007,226.24,60
9/1/2007,224.57,53
10/1/2007,222.33,57
11/1/2007,219.98,45
12/1/2007,217.88,44
1/1/2008,214.74,44
2/1/2008,214.53,48
3/1/2008,213.24,49
4/1/2008,212.22,49
5/1/2008,211.4,49
6/1/2008,210.97,45
7/1/2008,208.87,43
8/1/2008,206.59,38
9/1/2008,204.04,35
10/1/2008,201.53,32
11/1/2008,197.31,27
12/1/2008,195.9,26
1/1/2009,196.68,24
2/1/2009,197.65,29
3/1/2009,196,31
4/1/2009,196.22,32
5/1/2009,197.32,34
6/1/2009,198.14,37
7/1/2009,197.48,38
8/1/2009,196.55,36
9/1/2009,195.55,30
10/1/2009,195.79,33
11/1/2009,195.6,26
12/1/2009,191.95,24
1/1/2010,191.14,24
2/1/2010,190.29,27
3/1/2010,191.23,36
4/1/2010,193,41
5/1/2010,194.98,26
6/1/2010,193.72,28
7/1/2010,192.31,26
8/1/2010,191.5,23
9/1/2010,189,25
10/1/2010,188.67,23
11/1/2010,187.25,20
12/1/2010,184.63,23
1/1/2011,182.3,21
2/1/2011,180.81,22
3/1/2011,179.91,28
4/1/2011,181.82,30
5/1/2011,183.32,28
6/1/2011,185.24,28
7/1/2011,185.66,27
8/1/2011,184.33,25
9/1/2011,184.52,24
10/1/2011,182.93,25
11/1/2011,183.19,23
12/1/2011,182.3,24
1/1/2012,180.39,23
2/1/2012,181.36,30
3/1/2012,184.15,34
4/1/2012,187.26,34
5/1/2012,190.29,35
6/1/2012,192.25,34
7/1/2012,192.66,33
8/1/2012,192.47,31
9/1/2012,192.41,30
10/1/2012,193.05,29
11/1/2012,193.33,28
12/1/2012,192.7,28
1/1/2013,192.26,32
2/1/2013,194.31,36
3/1/2013,198.06,41
4/1/2013,200.87,43
,,40
,,43
,,33
,,31
,,31
,,36
,,32
,,31
,,33
,,35
,,39
,,38
